EV_type,battery_chemistry,usable_battery_size_kWh,range_miles,efficiency_Wh/Mile,AC_charge_rate_kW,DCFC_capable,max_c_rate,pack_voltage_at_peak_power_V
XFC250_400kW,LTO,87.5,250,350,11.5,TRUE,3.85,900
XFC300_575kW,LTO,142.5,300,475,11.5,TRUE,3.41,900
XFC300_400kW,LTO,97.5,300,325,11.5,TRUE,3.46,900
XFC250_350kW,NMC,118.75,250,475,11.5,TRUE,2.29,900
XFC300_300kW,NMC,97.5,300,325,11.5,TRUE,2.38,900
XFC150_150kW,NMC,45,150,300,9.6,TRUE,2.56,900
XFC250_300kW,NMC,87.5,250,350,11.5,TRUE,2.64,900
XFC200_150kW,NMC,95,200,475,9.6,TRUE,1.22,900
XFC275_150kW,NMC,82.5,275,300,9.6,TRUE,1.41,900
BEV250_75kW,NMC,75,250,300,6.6,TRUE,0.76,460
BEV150_50kW,NMC,45,150,300,6.6,TRUE,0.85,460
PHEV50_SUV,NMC,23.75,50,475,9.6,FALSE,0,0
PHEV50,NMC,15.5,50,310,3.3,FALSE,0,0
PHEV20,NMC,5,20,250,3.3,FALSE,0,0
