, xfc_150, xfc_150, xfc_150, xfc_150, xfc_150, xfc_150, xfc_150, xfc_150, xfc_350, xfc_350, xfc_350, xfc_350, xfc_350, xfc_350, xfc_350, xfc_350, xfc_500kW, xfc_500kW, xfc_500kW, xfc_500kW, xfc_500kW, xfc_500kW, xfc_500kW, xfc_500kW, xfc_1000kW, xfc_1000kW, xfc_1000kW, xfc_1000kW, xfc_1000kW, xfc_1000kW, xfc_1000kW, xfc_1000kW, xfc_2000kW, xfc_2000kW, xfc_2000kW, xfc_2000kW, xfc_2000kW, xfc_2000kW, xfc_2000kW, xfc_2000kW, xfc_3000kW, xfc_3000kW, xfc_3000kW, xfc_3000kW, xfc_3000kW, xfc_3000kW, xfc_3000kW, xfc_3000kW, dwc_100kW, dwc_100kW, dwc_100kW, dwc_100kW, dwc_100kW, dwc_100kW, dwc_100kW, dwc_100kW, 
soc, ld_50kWh, ld_100kWh, md_200kWh, hd_300kWh, hd_400kWh, hd_600kWh, hd_800kWh, hd_1000kWh, ld_50kWh, ld_100kWh, md_200kWh, hd_300kWh, hd_400kWh, hd_600kWh, hd_800kWh, hd_1000kWh, ld_50kWh, ld_100kWh, md_200kWh, hd_300kWh, hd_400kWh, hd_600kWh, hd_800kWh, hd_1000kWh, ld_50kWh, ld_100kWh, md_200kWh, hd_300kWh, hd_400kWh, hd_600kWh, hd_800kWh, hd_1000kWh, ld_50kWh, ld_100kWh, md_200kWh, hd_300kWh, hd_400kWh, hd_600kWh, hd_800kWh, hd_1000kWh, ld_50kWh, ld_100kWh, md_200kWh, hd_300kWh, hd_400kWh, hd_600kWh, hd_800kWh, hd_1000kWh, ld_50kWh, ld_100kWh, md_200kWh, hd_300kWh, hd_400kWh, hd_600kWh, hd_800kWh, hd_1000kWh, 
0, 124.64587923089042, 122.38229534071229, 124.99935482557609, 187.49903223836412, 187.4990322919245, 187.49903227407106, 187.49903226514434, 189.59594596054998, 141.74736842814, 283.21124200604, 351.65195242759415, 527.4779286413913, 536.3200340480914, 551.467741982562, 551.4677419563069, 557.6351351780881, 141.74736842814, 283.21124200604, 351.65195242759415, 527.4779286413913, 536.3200340480914, 551.467741982562, 551.4677419563069, 557.6351351780881, 141.74736842814, 283.21124200604, 542.7849693228944, 814.1774539843416, 777.7564016147287, 787.0469348700666, 804.7311453623216, 817.0470000629349, 141.74736842814, 283.21124200604, 566.98947371256, 850.4842105688399, 1133.97894742512, 1630.2031760919858, 1557.361070737169, 1574.312573169373, 141.74736842814, 283.21124200604, 566.98947371256, 850.4842105688399, 1133.97894742512, 1700.9684211376798, 2267.9578948502403, 2393.6842106460003, 87.91298812597856, 91.91129026417764, 91.9112903129236, 137.8669354693854, 137.866935508768, 137.8669354956405, 137.86693548907672, 139.40878379452204, 
1, 130.2635023215515, 127.40216387931146, 129.46361749791808, 194.19542624687713, 194.19542630235037, 194.19542628385932, 194.19542627461377, 196.36722974485534, 148.012280709155, 295.72853673849664, 368.17752037741406, 552.266280566121, 559.231192998961, 571.1630184819392, 571.1630184547464, 577.5506757201628, 148.012280709155, 295.72853673849664, 368.17752037741406, 552.266280566121, 559.231192998961, 571.1630184819392, 571.1630184547464, 577.5506757201628, 148.012280709155, 295.72853673849664, 566.9284810352591, 850.3927215528886, 814.39272182486, 820.3550596974655, 834.2848842224986, 846.2272500651826, 148.012280709155, 295.72853673849664, 592.04912283662, 888.0736842549298, 1184.09824567324, 1702.7036679423982, 1630.7036678474499, 1645.7703505231204, 148.012280709155, 295.72853673849664, 592.04912283662, 888.0736842549298, 1184.09824567324, 1776.1473685098597, 2368.1964913464803, 2502.2807018795, 92.04438011459216, 95.19383634504112, 95.19383639552801, 142.790754593292, 142.79075463408114, 142.7907546204848, 142.7907546136866, 144.3876689300407, 
2, 135.88112541221258, 132.42203241791063, 133.9278801702601, 200.89182025539012, 200.89182031277625, 200.89182029364756, 200.89182028408322, 203.1385135291607, 154.27719299017, 308.2458314709533, 384.7030883272339, 577.0546324908508, 582.1423519498304, 590.8582949813164, 590.8582949531859, 597.4662162622373, 154.27719299017, 308.2458314709533, 384.7030883272339, 577.0546324908508, 582.1423519498304, 590.8582949813164, 590.8582949531859, 597.4662162622373, 154.27719299017, 308.2458314709533, 591.0719927476238, 886.6079891214355, 851.0290420349912, 853.6631845248646, 863.8386230826756, 875.4075000674303, 154.27719299017, 308.2458314709533, 617.1087719606799, 925.6631579410198, 1234.2175439213597, 1775.2041597928105, 1704.0462649577307, 1717.2281278768678, 154.27719299017, 308.2458314709533, 617.1087719606799, 925.6631579410198, 1234.2175439213597, 1851.3263158820398, 2468.4350878427203, 2610.8771931130004, 96.17577210320574, 98.4763824259046, 98.47638247813242, 147.71457371719865, 147.71457375939428, 147.7145737453291, 147.71457373829648, 149.3665540655593, 
3, 141.49874850287367, 137.44190095650978, 138.39214284260208, 207.58821426390313, 207.58821432320212, 207.58821430343582, 207.58821429355265, 209.90979731346607, 160.542105271185, 320.7631262034099, 401.2286562770538, 601.8429844155808, 605.0535109007, 610.5535714806936, 610.5535714516255, 617.3817568043119, 160.542105271185, 320.7631262034099, 401.2286562770538, 601.8429844155808, 605.0535109007, 610.5535714806936, 610.5535714516255, 617.3817568043119, 160.542105271185, 320.7631262034099, 615.2155044599883, 922.8232566899825, 887.6653622451225, 886.9713093522636, 893.3923619428525, 904.5877500696779, 160.542105271185, 320.7631262034099, 642.1684210847399, 963.2526316271097, 1284.3368421694797, 1847.7046516432226, 1777.3888620680116, 1788.6859052306154, 160.542105271185, 320.7631262034099, 642.1684210847399, 963.2526316271097, 1284.3368421694797, 1926.5052632542197, 2568.6736843389604, 2719.4736843465002, 100.30716409181935, 101.75892850676809, 101.75892856073683, 152.63839284110526, 152.63839288470743, 152.6383928701734, 152.6383928629064, 154.34543920107797, 
4, 142.9421032031789, 140.5019421187314, 142.8564055149441, 214.2846082724161, 214.284608333628, 214.28460831322406, 214.2846083030221, 216.68108109777143, 162.17894737653, 324.03353672858, 405.77745049862176, 608.6661757479327, 616.621063133428, 630.2488479800709, 630.248847950065, 637.2972973463865, 162.17894737653, 324.03353672858, 405.77745049862176, 608.6661757479327, 616.621063133428, 630.2488479800709, 630.248847950065, 637.2972973463865, 162.17894737653, 324.03353672858, 621.4890214821942, 932.2335322232911, 896.7297731197442, 904.5805019223177, 920.4902763184092, 933.7680000719256, 162.17894737653, 324.03353672858, 648.7157895061199, 973.0736842591798, 1297.4315790122398, 1866.5461141403516, 1795.538595240802, 1814.1507552697778, 162.17894737653, 324.03353672858, 648.7157895061199, 973.0736842591798, 1297.4315790122398, 1946.1473685183598, 2594.86315802448, 2747.218045250143, 101.44436264692911, 105.04147458763157, 105.04147464334125, 157.56221196501187, 157.56221201002057, 157.56221199501772, 157.56221198751626, 159.32432433659662, 
5, 144.38545790348414, 141.71808951395602, 143.92419353326508, 215.8862902998976, 215.88629036156698, 215.88629034101055, 215.88629033073235, 218.30067569249076, 163.81578948187502, 327.30394725375, 409.8246479848457, 614.7369719772685, 622.1906062320703, 634.9596774735605, 634.9596774433305, 642.0608108602669, 163.81578948187502, 327.30394725375, 409.8246479848457, 614.7369719772685, 622.1906062320703, 634.9596774735605, 634.9596774433305, 642.0608108602669, 163.81578948187502, 327.30394725375, 627.7625385043999, 941.6438077565998, 905.7941839943659, 912.6712220332979, 927.5784901631467, 940.7475000724631, 163.81578948187502, 327.30394725375, 655.2631579274998, 982.8947368912499, 1310.5263158549997, 1885.3875766374806, 1813.6883284135922, 1831.605399793323, 163.81578948187502, 327.30394725375, 655.2631579274998, 982.8947368912499, 1310.5263158549997, 1965.7894737825, 2621.0526317100002, 2774.962406153786, 102.45616201877357, 105.8266128359806, 105.82661289210668, 158.73991933816, 158.73991938350514, 158.73991936839013, 158.73991936083263, 160.51520271506672, 
6, 145.82881260378937, 142.93423690918058, 144.99198155158606, 217.48797232737908, 217.487972389506, 217.48797236879705, 217.4879723584426, 219.92027028721012, 165.45263158722, 330.57435777892, 413.87184547106955, 620.8077682066044, 627.7601493307127, 639.6705069670502, 639.670506936596, 646.8243243741473, 165.45263158722, 330.57435777892, 413.87184547106955, 620.8077682066044, 627.7601493307127, 639.6705069670502, 639.670506936596, 646.8243243741473, 165.45263158722, 330.57435777892, 634.0360555266057, 951.0540832899084, 914.8585948689877, 920.7619421442782, 934.6667040078844, 947.7270000730008, 165.45263158722, 330.57435777892, 661.8105263488799, 992.7157895233198, 1323.6210526977598, 1904.2290391346096, 1831.8380615863825, 1849.0600443168682, 165.45263158722, 330.57435777892, 661.8105263488799, 992.7157895233198, 1323.6210526977598, 1985.4315790466399, 2647.24210539552, 2802.706767057429, 103.46796139061803, 106.61175108432963, 106.61175114087212, 159.91762671130817, 159.9176267569897, 159.91762674176255, 159.917626734149, 161.70608109353682, 
7, 147.2721673040946, 144.15038430440518, 146.05976956990705, 219.08965435486058, 219.08965441744502, 219.08965439658354, 219.08965438615283, 221.53986488192945, 167.089473692565, 333.84476830409, 417.9190429572934, 626.8785644359401, 633.3296924293552, 644.38133646054, 644.3813364298613, 651.5878378880277, 167.089473692565, 333.84476830409, 417.9190429572934, 626.8785644359401, 633.3296924293552, 644.38133646054, 644.3813364298613, 651.5878378880277, 167.089473692565, 333.84476830409, 640.3095725488114, 960.464358823217, 923.9230057436093, 928.8526622552586, 941.7549178526222, 954.7065000735383, 167.089473692565, 333.84476830409, 668.3578947702599, 1002.5368421553899, 1336.7157895405198, 1923.0705016317386, 1849.987794759173, 1866.5146888404133, 167.089473692565, 333.84476830409, 668.3578947702599, 1002.5368421553899, 1336.7157895405198, 2005.0736843107798, 2673.43157908104, 2830.4511279610715, 104.47976076246249, 107.39688933267865, 107.39688938963755, 161.0953340844563, 161.09533413047427, 161.095334115135, 161.09533410746533, 162.89695947200693, 
8, 148.71552200439984, 145.36653169962977, 147.12755758822803, 220.69133638234206, 220.69133644538402, 220.69133642437006, 220.69133641386307, 223.1594594766488, 168.72631579791, 337.11517882926, 421.9662404435173, 632.9493606652759, 638.8992355279976, 649.0921659540296, 649.0921659231268, 656.3513514019082, 168.72631579791, 337.11517882926, 421.9662404435173, 632.9493606652759, 638.8992355279976, 649.0921659540296, 649.0921659231268, 656.3513514019082, 168.72631579791, 337.11517882926, 646.5830895710171, 969.8746343565257, 932.987416618231, 936.9433823662389, 948.8431316973598, 961.686000074076, 168.72631579791, 337.11517882926, 674.90526319164, 1012.3578947874598, 1349.81052638328, 1941.9119641288676, 1868.1375279319634, 1883.9693333639584, 168.72631579791, 337.11517882926, 674.90526319164, 1012.3578947874598, 1349.81052638328, 2024.7157895749199, 2699.62105276656, 2858.195488864714, 105.49156013430695, 108.18202758102768, 108.18202763840297, 162.27304145760445, 162.27304150395884, 162.2730414885074, 162.2730414807817, 164.08783785047706, 
