EV_enum,bat_chemistry,bat_size_kWh,P2_charge_rate_kW
ld_50kWh,NMC,52.63157895,15.8976
ld_100kWh,NMC,105.1578947,15.8976
md_200kWh,NMC,210.5263158,15.8976
hd_300kWh,NMC,315.7894737,15.8976
hd_400kWh,NMC,421.0526316,15.8976
hd_600kWh,NMC,631.5789474,15.8976
hd_800kWh,NMC,842.1052632,15.8976
hd_1000kWh,NMC,1052.631579,15.8976
